MOVIES,YEAR,GENRE,RATING,STARS,VOTES,RunTime,Gross
Beauty and the Beast,1991,"
Animation, Family, Fantasy            ",8.0,"
    Directors:
Gary Trousdale, 
Kirk Wise
| 
    Stars:
Paige O'Hara, 
Robby Benson, 
Jesse Corti, 
Rex Everhart
","425,384",84.0,218.97
Finding Dory,2016,"
Animation, Adventure, Comedy            ",7.3,"
    Directors:
Andrew Stanton, 
Angus MacLane
| 
    Stars:
Ellen DeGeneres, 
Albert Brooks, 
Ed O'Neill, 
Kaitlin Olson
","250,953",97.0,486.3
Public Enemies,2009,"
Biography, Crime, Drama            ",7.0,"
    Director:
Michael Mann
| 
    Stars:
Christian Bale, 
Johnny Depp, 
Christian Stolte, 
Jason Clarke
","288,097",140.0,97.1
127 Hours,2010,"
Biography, Drama            ",7.5,"
    Director:
Danny Boyle
| 
    Stars:
James Franco, 
Amber Tamblyn, 
Kate Mara, 
Sean Bott
","357,144",94.0,18.34
Jurassic Park III,2001,"
Action, Adventure, Sci-Fi            ",5.9,"
    Director:
Joe Johnston
| 
    Stars:
Sam Neill, 
William H. Macy, 
Téa Leoni, 
Alessandro Nivola
","302,292",92.0,181.17
Revenge,2017,"
Action, Horror, Thriller            ",6.4,"
    Director:
Coralie Fargeat
| 
    Stars:
Matilda Anna Ingrid Lutz, 
Kevin Janssens, 
Vincent Colombe, 
Guillaume Bouchède
","39,034",108.0,0.1
Total Recall,2012,"
Action, Adventure, Sci-Fi            ",6.2,"
    Director:
Len Wiseman
| 
    Stars:
Colin Farrell, 
Bokeem Woodbine, 
Bryan Cranston, 
Kate Beckinsale
","244,708",118.0,58.88
Footloose,1984,"
Drama, Music, Romance            ",6.6,"
    Director:
Herbert Ross
| 
    Stars:
Kevin Bacon, 
Lori Singer, 
John Lithgow, 
Dianne Wiest
","73,935",107.0,80.04
Brooklyn,2015,"
Drama, Romance            ",7.5,"
    Director:
John Crowley
| 
    Stars:
Saoirse Ronan, 
Emory Cohen, 
Domhnall Gleeson, 
Jim Broadbent
","135,157",117.0,38.32
Child's Play,2019,"
Drama, Horror, Sci-Fi            ",5.7,"
    Director:
Lars Klevberg
| 
    Stars:
Tim Matheson, 
Ben Daon, 
Zahra Anderson, 
Serge Jaswal
","46,932",90.0,29.21
The Danish Girl,2015,"
Biography, Drama, Romance            ",7.1,"
    Director:
Tom Hooper
| 
    Stars:
Eddie Redmayne, 
Alicia Vikander, 
Amber Heard, 
Ben Whishaw
","171,124",119.0,11.11
The Bad Batch,2016,"
Action, Horror, Mystery            ",5.3,"
    Director:
Ana Lily Amirpour
| 
    Stars:
Suki Waterhouse, 
Jason Momoa, 
Jayda Fink, 
Keanu Reeves
","28,243",118.0,0.18
Now You See Me 2,2016,"
Action, Adventure, Comedy            ",6.5,"
    Director:
Jon M. Chu
| 
    Stars:
Jesse Eisenberg, 
Mark Ruffalo, 
Woody Harrelson, 
Dave Franco
","261,079",129.0,65.08
The Tourist,2010,"
Action, Thriller            ",6.0,"
    Director:
Florian Henckel von Donnersmarck
| 
    Stars:
Johnny Depp, 
Angelina Jolie, 
Paul Bettany, 
Timothy Dalton
","230,565",103.0,67.63
The Emperor's New Groove,2000,"
Animation, Adventure, Comedy            ",7.4,"
    Director:
Mark Dindal
| 
    Stars:
David Spade, 
John Goodman, 
Eartha Kitt, 
Patrick Warburton
","187,523",78.0,89.3
Deepwater Horizon,2016,"
Action, Drama, History            ",7.1,"
    Director:
Peter Berg
| 
    Stars:
Mark Wahlberg, 
Kurt Russell, 
Douglas M. Griffin, 
James DuMont
","158,184",107.0,61.43
The Dictator,2012,"
Comedy            ",6.4,"
    Director:
Larry Charles
| 
    Stars:
Sacha Baron Cohen, 
Anna Faris, 
John C. Reilly, 
Ben Kingsley
","287,003",83.0,59.65
Green Room,2015,"
Horror, Thriller            ",7.0,"
    Director:
Jeremy Saulnier
| 
    Stars:
Anton Yelchin, 
Imogen Poots, 
Alia Shawkat, 
Patrick Stewart
","112,522",95.0,3.22
The Post,2017,"
Drama            ",7.2,"
    Director:
Steven Spielberg
| 
    Stars:
Meryl Streep, 
Tom Hanks, 
Sarah Paulson, 
Bob Odenkirk
","141,624",116.0,81.9
Spartacus,1960,"
Adventure, Biography, Drama            ",7.9,"
    Director:
Stanley Kubrick
| 
    Stars:
Kirk Douglas, 
Laurence Olivier, 
Jean Simmons, 
Charles Laughton
","128,685",197.0,30.0
Tonari no Totoro,1988,"
Animation, Family, Fantasy            ",8.2,"
    Director:
Hayao Miyazaki
| 
    Stars:
Hitoshi Takagi, 
Noriko Hidaka, 
Chika Sakamoto, 
Shigesato Itoi
","305,790",86.0,1.11
The Quick and the Dead,1995,"
Action, Romance, Thriller            ",6.4,"
    Director:
Sam Raimi
| 
    Stars:
Sharon Stone, 
Gene Hackman, 
Russell Crowe, 
Leonardo DiCaprio
","88,608",107.0,18.64
Knocked Up,2007,"
Comedy, Romance            ",6.9,"
    Director:
Judd Apatow
| 
    Stars:
Seth Rogen, 
Katherine Heigl, 
Paul Rudd, 
Leslie Mann
","356,979",129.0,148.73
Fatal Attraction,1987,"
Drama, Thriller            ",6.9,"
    Director:
Adrian Lyne
| 
    Stars:
Michael Douglas, 
Glenn Close, 
Anne Archer, 
Ellen Latzen
","79,936",119.0,156.65
Dreamgirls,2006,"
Drama, Music, Musical            ",6.5,"
    Director:
Bill Condon
| 
    Stars:
Beyoncé, 
Jamie Foxx, 
Eddie Murphy, 
Danny Glover
","70,985",130.0,103.37
Smokin' Aces,2006,"
Action, Comedy, Crime            ",6.7,"
    Director:
Joe Carnahan
| 
    Stars:
Jeremy Piven, 
Ryan Reynolds, 
Ray Liotta, 
Joseph Ruskin
","140,790",109.0,35.66
Serenity,2019,"
Drama, Mystery, Thriller            ",5.4,"
    Director:
Steven Knight
| 
    Stars:
Matthew McConaughey, 
Anne Hathaway, 
Diane Lane, 
Jason Clarke
","38,364",106.0,8.55
Hotel Transylvania 3: Summer Vacation,2018,"
Animation, Adventure, Comedy            ",6.3,"
    Director:
Genndy Tartakovsky
| 
    Stars:
Adam Sandler, 
Andy Samberg, 
Selena Gomez, 
Kevin James
","62,255",97.0,167.51
Triple 9,2016,"
Action, Crime, Thriller            ",6.3,"
    Director:
John Hillcoat
| 
    Stars:
Casey Affleck, 
Chiwetel Ejiofor, 
Anthony Mackie, 
Aaron Paul
","69,234",115.0,12.63
Easy Rider,1969,"
Adventure, Drama            ",7.3,"
    Director:
Dennis Hopper
| 
    Stars:
Peter Fonda, 
Dennis Hopper, 
Jack Nicholson, 
Antonio Mendoza
","104,511",95.0,41.73
A Walk to Remember,2002,"
Drama, Romance            ",7.3,"
    Director:
Adam Shankman
| 
    Stars:
Mandy Moore, 
Shane West, 
Peter Coyote, 
Daryl Hannah
","203,383",101.0,41.23
Lilo & Stitch,2002,"
Animation, Adventure, Comedy            ",7.3,"
    Directors:
Dean DeBlois, 
Chris Sanders
| 
    Stars:
Daveigh Chase, 
Chris Sanders, 
Tia Carrere, 
David Ogden Stiers
","175,052",85.0,145.79
Operation Finale,2018,"
Biography, Drama, History            ",6.6,"
    Director:
Chris Weitz
| 
    Stars:
Oscar Isaac, 
Ben Kingsley, 
Mélanie Laurent, 
Lior Raz
","36,593",122.0,17.61
Locke,2013,"
Drama            ",7.1,"
    Director:
Steven Knight
| 
    Stars:
Tom Hardy, 
Olivia Colman, 
Ruth Wilson, 
Andrew Scott
","140,930",85.0,1.36
A Cinderella Story,2004,"
Comedy, Family, Romance            ",5.9,"
    Director:
Mark Rosman
| 
    Stars:
Hilary Duff, 
Chad Michael Murray, 
Jennifer Coolidge, 
Dan Byrd
","82,876",95.0,51.44
Escape Plan,2013,"
Action, Thriller            ",6.7,"
    Director:
Mikael Håfström
| 
    Stars:
Sylvester Stallone, 
Arnold Schwarzenegger, 
50 Cent, 
Vincent D'Onofrio
","233,030",115.0,25.13
Life of Brian,1979,"
Comedy            ",8.1,"
    Director:
Terry Jones
| 
    Stars:
Graham Chapman, 
John Cleese, 
Michael Palin, 
Terry Gilliam
","378,134",94.0,20.05
Colombiana,2011,"
Action, Drama, Thriller            ",6.4,"
    Director:
Olivier Megaton
| 
    Stars:
Zoe Saldana, 
Michael Vartan, 
Callum Blue, 
Jordi Mollà
","97,146",108.0,36.67
Resident Evil: The Final Chapter,2016,"
Action, Horror, Sci-Fi            ",5.5,"
    Director:
Paul W.S. Anderson
| 
    Stars:
Milla Jovovich, 
Iain Glen, 
Ali Larter, 
Shawn Roberts
","87,437",107.0,26.83
Dirty Grandpa,2016,"
Comedy            ",5.9,"
    Director:
Dan Mazer
| 
    Stars:
Robert De Niro, 
Zac Efron, 
Zoey Deutch, 
Aubrey Plaza
","117,026",102.0,35.59
Late Night,2019,"
Comedy, Drama            ",6.5,"
    Director:
Nisha Ganatra
| 
    Stars:
Emma Thompson, 
Mindy Kaling, 
John Lithgow, 
Hugh Dancy
","33,065",102.0,15.5
The Duff,2015,"
Comedy, Romance            ",6.5,"
    Director:
Ari Sandel
| 
    Stars:
Mae Whitman, 
Bella Thorne, 
Robbie Amell, 
Allison Janney
","86,929",101.0,34.02
You're Next,2011,"
Horror, Thriller            ",6.6,"
    Director:
Adam Wingard
| 
    Stars:
Sharni Vinson, 
Joe Swanberg, 
AJ Bowen, 
Nicholas Tucci
","92,232",95.0,18.47
The Lincoln Lawyer,2011,"
Crime, Drama, Mystery            ",7.3,"
    Director:
Brad Furman
| 
    Stars:
Matthew McConaughey, 
Marisa Tomei, 
Ryan Phillippe, 
William H. Macy
","222,054",118.0,58.01
Pixels,2015,"
Action, Comedy, Fantasy            ",5.5,"
    Director:
Chris Columbus
| 
    Stars:
Adam Sandler, 
Kevin James, 
Michelle Monaghan, 
Peter Dinklage
","135,509",105.0,78.75
The Ten Commandments,1956,"
Adventure, Drama            ",7.9,"
    Director:
Cecil B. DeMille
| 
    Stars:
Charlton Heston, 
Yul Brynner, 
Anne Baxter, 
Edward G. Robinson
","66,532",220.0,93.74
Live by Night,2016,"
Action, Crime, Drama            ",6.4,"
    Director:
Ben Affleck
| 
    Stars:
Ben Affleck, 
Elle Fanning, 
Brendan Gleeson, 
Chris Messina
","54,010",129.0,10.38
Sabotage,2014,"
Action, Crime, Drama            ",5.7,"
    Director:
David Ayer
| 
    Stars:
Arnold Schwarzenegger, 
Sam Worthington, 
Terrence Howard, 
Olivia Williams
","61,545",109.0,10.51
Despicable Me 2,2013,"
Animation, Adventure, Comedy            ",7.3,"
    Directors:
Pierre Coffin, 
Chris Renaud
| 
    Stars:
Steve Carell, 
Kristen Wiig, 
Benjamin Bratt, 
Miranda Cosgrove
","377,936",98.0,368.06
Oz the Great and Powerful,2013,"
Adventure, Family, Fantasy            ",6.3,"
    Director:
Sam Raimi
| 
    Stars:
James Franco, 
Michelle Williams, 
Rachel Weisz, 
Mila Kunis
","201,707",130.0,234.91
CHIPS,2017,"
Action, Comedy, Crime            ",6.0,"
    Director:
Dax Shepard
| 
    Stars:
Michael Peña, 
Dax Shepard, 
Vincent D'Onofrio, 
Rosa Salazar
","44,487",100.0,18.6
Taken 3,2014,"
Action, Crime, Thriller            ",6.0,"
    Director:
Olivier Megaton
| 
    Stars:
Liam Neeson, 
Forest Whitaker, 
Maggie Grace, 
Famke Janssen
","183,595",108.0,89.26
Out of the Furnace,2013,"
Action, Crime, Drama            ",6.8,"
    Director:
Scott Cooper
| 
    Stars:
Christian Bale, 
Casey Affleck, 
Zoe Saldana, 
Woody Harrelson
","110,076",116.0,11.33
Noah,2014,"
Action, Adventure, Drama            ",5.7,"
    Director:
Darren Aronofsky
| 
    Stars:
Russell Crowe, 
Jennifer Connelly, 
Anthony Hopkins, 
Emma Watson
","247,033",138.0,101.2
Takers,2010,"
Action, Crime, Thriller            ",6.2,"
    Director:
John Luessenhop
| 
    Stars:
Chris Brown, 
Hayden Christensen, 
Matt Dillon, 
Michael Ealy
","59,882",107.0,57.74
Lord of War,2005,"
Action, Crime, Drama            ",7.6,"
    Director:
Andrew Niccol
| 
    Stars:
Nicolas Cage, 
Ethan Hawke, 
Jared Leto, 
Bridget Moynahan
","300,344",122.0,24.15
Blue Jasmine,2013,"
Comedy, Drama            ",7.3,"
    Director:
Woody Allen
| 
    Stars:
Cate Blanchett, 
Alec Baldwin, 
Peter Sarsgaard, 
Sally Hawkins
","195,580",98.0,33.41
The Expendables 2,2012,"
Action, Adventure, Thriller            ",6.6,"
    Director:
Simon West
| 
    Stars:
Sylvester Stallone, 
Liam Hemsworth, 
Randy Couture, 
Jean-Claude Van Damme
","296,948",103.0,85.02
Conan the Barbarian,2011,"
Action, Adventure, Fantasy            ",5.2,"
    Director:
Marcus Nispel
| 
    Stars:
Jason Momoa, 
Ron Perlman, 
Rose McGowan, 
Stephen Lang
","96,638",113.0,21.3
Battle of Britain,1969,"
Action, Drama, History            ",7.0,"
    Director:
Guy Hamilton
| 
    Stars:
Michael Caine, 
Trevor Howard, 
Harry Andrews, 
Curd Jürgens
","21,366",132.0,4.36
Begin Again,2013,"
Comedy, Drama, Music            ",7.4,"
    Director:
John Carney
| 
    Stars:
Keira Knightley, 
Mark Ruffalo, 
Adam Levine, 
Hailee Steinfeld
","147,794",104.0,16.17
The Invitation,2015,"
Drama, Mystery, Thriller            ",6.6,"
    Director:
Karyn Kusama
| 
    Stars:
Logan Marshall-Green, 
Emayatzy Corinealdi, 
Michiel Huisman, 
Tammy Blanchard
","100,313",100.0,0.23
Flashdance,1983,"
Drama, Music, Romance            ",6.2,"
    Director:
Adrian Lyne
| 
    Stars:
Jennifer Beals, 
Michael Nouri, 
Lilia Skala, 
Sunny Johnson
","49,826",95.0,94.9
Hummingbird,2013,"
Action, Crime, Drama            ",6.2,"
    Director:
Steven Knight
| 
    Stars:
Jason Statham, 
Agata Buzek, 
Vicky McClure, 
Benedict Wong
","68,546",100.0,0.03
Paddington 2,2017,"
Animation, Adventure, Comedy            ",7.8,"
    Director:
Paul King
| 
    Stars:
Ben Whishaw, 
Hugh Grant, 
Hugh Bonneville, 
Sally Hawkins
","66,462",103.0,40.44
Gake no ue no Ponyo,2008,"
Animation, Adventure, Comedy            ",7.7,"
    Director:
Hayao Miyazaki
| 
    Stars:
Cate Blanchett, 
Matt Damon, 
Liam Neeson, 
Tomoko Yamaguchi
","131,204",101.0,15.09
Mechanic: Resurrection,2016,"
Action, Adventure, Crime            ",5.7,"
    Director:
Dennis Gansel
| 
    Stars:
Jason Statham, 
Jessica Alba, 
Tommy Lee Jones, 
Michelle Yeoh
","79,668",98.0,21.22
Scary Movie 5,2013,"
Comedy            ",3.5,"
    Directors:
Malcolm D. Lee, 
David Zucker
| 
    Stars:
Simon Rex, 
Ashley Tisdale, 
Charlie Sheen, 
Lindsay Lohan
","67,762",88.0,32.02
Kill Me Three Times,2014,"
Action, Comedy, Crime            ",5.9,"
    Director:
Kriv Stenders
| 
    Stars:
Simon Pegg, 
Teresa Palmer, 
Alice Braga, 
Luke Hemsworth
","22,359",90.0,0.02
Killers,2010,"
Action, Comedy, Romance            ",5.5,"
    Director:
Robert Luketic
| 
    Stars:
Katherine Heigl, 
Ashton Kutcher, 
Tom Selleck, 
Catherine O'Hara
","89,080",100.0,47.06
The Lorax,2012,"
Animation, Adventure, Comedy            ",6.4,"
    Directors:
Chris Renaud, 
Kyle Balda
| 
    Stars:
Zac Efron, 
Taylor Swift, 
Danny DeVito, 
Ed Helms
","103,009",86.0,214.03
Alice Through the Looking Glass,2016,"
Adventure, Family, Fantasy            ",6.2,"
    Director:
James Bobin
| 
    Stars:
Mia Wasikowska, 
Johnny Depp, 
Helena Bonham Carter, 
Anne Hathaway
","98,302",113.0,77.04
Macbeth,2015,"
Drama, History, War            ",6.6,"
    Director:
Justin Kurzel
| 
    Stars:
Michael Fassbender, 
Marion Cotillard, 
Jack Madigan, 
Frank Madigan
","54,067",113.0,1.11
The Infiltrator,2016,"
Biography, Crime, Drama            ",7.0,"
    Director:
Brad Furman
| 
    Stars:
Bryan Cranston, 
John Leguizamo, 
Diane Kruger, 
Amy Ryan
","70,858",127.0,15.43
Doom,2005,"
Action, Horror, Sci-Fi            ",5.2,"
    Director:
Andrzej Bartkowiak
| 
    Stars:
Karl Urban, 
Rosamund Pike, 
Dwayne Johnson, 
Deobia Oparei
","110,028",105.0,28.21
Kaze no tani no Naushika,1984,"
Animation, Adventure, Fantasy            ",8.1,"
    Director:
Hayao Miyazaki
| 
    Stars:
Sumi Shimamoto, 
Mahito Tsujimura, 
Hisako Kyôda, 
Gorô Naya
","157,520",117.0,0.5
The Last Stand,2013,"
Action, Thriller            ",6.3,"
    Director:
Jee-woon Kim
| 
    Stars:
Arnold Schwarzenegger, 
Forest Whitaker, 
Johnny Knoxville, 
Rodrigo Santoro
","135,448",107.0,12.05
De rouille et d'os,2012,"
Drama, Romance            ",7.5,"
    Director:
Jacques Audiard
| 
    Stars:
Marion Cotillard, 
Matthias Schoenaerts, 
Armand Verdure, 
Céline Sallette
","65,455",120.0,2.06
Young Guns II,1990,"
Action, Western            ",6.5,"
    Director:
Geoff Murphy
| 
    Stars:
Emilio Estevez, 
Kiefer Sutherland, 
Lou Diamond Phillips, 
Christian Slater
","33,616",104.0,44.14
Pan,2015,"
Adventure, Comedy, Family            ",5.7,"
    Director:
Joe Wright
| 
    Stars:
Levi Miller, 
Hugh Jackman, 
Garrett Hedlund, 
Rooney Mara
","61,772",111.0,35.09
The Iceman,2012,"
Biography, Crime, Drama            ",6.8,"
    Director:
Ariel Vromen
| 
    Stars:
Michael Shannon, 
Chris Evans, 
James Franco, 
Winona Ryder
","72,326",106.0,1.94
Hannibal Rising,2007,"
Action, Adventure, Crime            ",6.2,"
    Director:
Peter Webber
| 
    Stars:
Gaspard Ulliel, 
Rhys Ifans, 
Gong Li, 
Aaran Thomas
","106,197",121.0,27.67
The Day the Earth Stood Still,2008,"
Drama, Sci-Fi, Thriller            ",5.5,"
    Director:
Scott Derrickson
| 
    Stars:
Keanu Reeves, 
Jennifer Connelly, 
Kathy Bates, 
Jaden Smith
","165,900",104.0,79.37
The Adventures of Sharkboy and Lavagirl 3-D,2005,"
Action, Adventure, Comedy            ",3.7,"
    Director:
Robert Rodriguez
| 
    Stars:
Cayden Boyd, 
George Lopez, 
Kristin Davis, 
David Arquette
","34,853",93.0,39.18
Taken 2,2012,"
Action, Crime, Thriller            ",6.3,"
    Director:
Olivier Megaton
| 
    Stars:
Liam Neeson, 
Famke Janssen, 
Maggie Grace, 
Leland Orser
","295,140",92.0,139.85
The Ugly Truth,2009,"
Comedy, Romance            ",6.4,"
    Director:
Robert Luketic
| 
    Stars:
Katherine Heigl, 
Gerard Butler, 
Bree Turner, 
Eric Winter
","209,052",96.0,88.92
Sweet Virginia,2017,"
Action, Drama, Thriller            ",6.2,"
    Director:
Jamie M. Dagg
| 
    Stars:
Jon Bernthal, 
Christopher Abbott, 
Imogen Poots, 
Rosemarie DeWitt
","9,324",93.0,0.01
Deliver Us from Evil,2014,"
Action, Biography, Crime            ",6.2,"
    Director:
Scott Derrickson
| 
    Stars:
Eric Bana, 
Edgar Ramírez, 
Olivia Munn, 
Chris Coy
","73,461",118.0,30.58
The Human Centipede II (Full Sequence),2011,"
Horror            ",3.8,"
    Director:
Tom Six
| 
    Stars:
Laurence R. Harvey, 
Ashlynn Yennie, 
Maddi Black, 
Kandace Caine
","36,912",91.0,0.12
Dead Man Down,2013,"
Action, Crime, Drama            ",6.5,"
    Director:
Niels Arden Oplev
| 
    Stars:
Colin Farrell, 
Noomi Rapace, 
Dominic Cooper, 
Terrence Howard
","65,672",118.0,10.88
Step Up,2006,"
Crime, Drama, Music            ",6.5,"
    Director:
Anne Fletcher
| 
    Stars:
Channing Tatum, 
Jenna Dewan, 
Damaine Radcliff, 
De'Shawn Washington
","113,232",104.0,65.33
Child 44,2015,"
Crime, Drama, History            ",6.5,"
    Director:
Daniel Espinosa
| 
    Stars:
Tom Hardy, 
Gary Oldman, 
Noomi Rapace, 
Joel Kinnaman
","67,925",137.0,1.21
Berlin Syndrome,2017,"
Drama, Horror, Mystery            ",6.3,"
    Director:
Cate Shortland
| 
    Stars:
Teresa Palmer, 
Max Riemelt, 
Matthias Habich, 
Emma Bading
","23,476",116.0,0.03
Office Christmas Party,2016,"
Comedy            ",5.9,"
    Directors:
Josh Gordon, 
Will Speck
| 
    Stars:
Jason Bateman, 
Olivia Munn, 
T.J. Miller, 
Jennifer Aniston
","72,433",105.0,54.77
White Girl,2016,"
Crime, Drama            ",5.7,"
    Director:
Elizabeth Wood
| 
    Stars:
Morgan Saylor, 
Brian Marc, 
Justin Bartha, 
Adrian Martinez
","10,127",88.0,0.2
Mercury Rising,1998,"
Action, Crime, Drama            ",6.1,"
    Director:
Harold Becker
| 
    Stars:
Bruce Willis, 
Miko Hughes, 
Alec Baldwin, 
Chi McBride
","70,935",111.0,32.94
Suburbicon,2017,"
Comedy, Crime, Drama            ",5.7,"
    Director:
George Clooney
| 
    Stars:
Matt Damon, 
Julianne Moore, 
Oscar Isaac, 
Noah Jupe
","41,867",105.0,5.78
Better Watch Out,2016,"
Comedy, Horror, Thriller            ",6.5,"
    Director:
Chris Peckover
| 
    Stars:
Olivia DeJonge, 
Levi Miller, 
Ed Oxenbould, 
Aleks Mikic
","33,703",89.0,0.02
Safe,2012,"
Action, Crime, Thriller            ",6.5,"
    Director:
Boaz Yakin
| 
    Stars:
Jason Statham, 
Catherine Chan, 
Chris Sarandon, 
Robert John Burke
","106,164",94.0,17.14
Killerman,2019,"
Action, Crime, Thriller            ",5.4,"
    Director:
Malik Bader
| 
    Stars:
Liam Hemsworth, 
Emory Cohen, 
Diane Guerrero, 
Zlatko Buric
","4,495",112.0,0.28
The Devil's Own,1997,"
Action, Crime, Drama            ",6.2,"
    Director:
Alan J. Pakula
| 
    Stars:
Harrison Ford, 
Brad Pitt, 
Margaret Colin, 
Rubén Blades
","62,161",111.0,42.87
Kaze tachinu,2013,"
Animation, Biography, Drama            ",7.8,"
    Director:
Hayao Miyazaki
| 
    Stars:
Hideaki Anno, 
Hidetoshi Nishijima, 
Miori Takimoto, 
Masahiko Nishimura
","77,732",126.0,5.21
Super Dark Times,2017,"
Crime, Drama, Horror            ",6.6,"
    Director:
Kevin Phillips
| 
    Stars:
Owen Campbell, 
Charlie Tahan, 
Elizabeth Cappuccino, 
Amy Hargreaves
","20,965",103.0,0.03
Zwartboek,2006,"
Drama, Thriller, War            ",7.7,"
    Director:
Paul Verhoeven
| 
    Stars:
Carice van Houten, 
Sebastian Koch, 
Thom Hoffman, 
Halina Reijn
","74,139",145.0,4.4
"See No Evil, Hear No Evil",1989,"
Comedy, Crime            ",6.9,"
    Director:
Arthur Hiller
| 
    Stars:
Richard Pryor, 
Gene Wilder, 
Joan Severance, 
Kevin Spacey
","51,788",103.0,46.91
Beasts of No Nation,2015,"
Drama, War            ",7.7,"
    Director:
Cary Joji Fukunaga
| 
    Stars:
Abraham Attah, 
Emmanuel Affadzi, 
Ricky Adelayitor, 
Andrew Adote
","76,530",137.0,0.08
Isn't It Romantic,2019,"
Comedy, Fantasy, Musical            ",5.9,"
    Director:
Todd Strauss-Schulson
| 
    Stars:
Rebel Wilson, 
Liam Hemsworth, 
Adam Devine, 
Priyanka Chopra Jonas
","65,584",89.0,48.79
The Ghost Writer,2010,"
Crime, Drama, Mystery            ",7.2,"
    Director:
Roman Polanski
| 
    Stars:
Ewan McGregor, 
Pierce Brosnan, 
Olivia Williams, 
Jon Bernthal
","159,090",128.0,15.54
Valley of the Dolls,1967,"
Drama, Music, Romance            ",6.0,"
    Director:
Mark Robson
| 
    Stars:
Barbara Parkins, 
Patty Duke, 
Paul Burke, 
Sharon Tate
","7,900",123.0,44.43
The Shack,2017,"
Drama, Fantasy            ",6.3,"
    Director:
Stuart Hazeldine
| 
    Stars:
Sam Worthington, 
Octavia Spencer, 
Tim McGraw, 
Radha Mitchell
","31,775",132.0,57.39
Maggie,2015,"
Drama, Horror, Sci-Fi            ",5.6,"
    Director:
Henry Hobson
| 
    Stars:
Arnold Schwarzenegger, 
Abigail Breslin, 
Joely Richardson, 
Laura Cayouette
","42,895",95.0,0.19
Broken City,2013,"
Action, Crime, Drama            ",6.2,"
    Director:
Allen Hughes
| 
    Stars:
Mark Wahlberg, 
Russell Crowe, 
Catherine Zeta-Jones, 
Jeffrey Wright
","77,749",109.0,19.7
Step Up 2: The Streets,2008,"
Drama, Music, Romance            ",6.2,"
    Director:
Jon M. Chu
| 
    Stars:
Robert Hoffman, 
Briana Evigan, 
Cassie Ventura, 
Adam Sevani
","82,792",98.0,58.02
Contraband,2012,"
Action, Crime, Drama            ",6.4,"
    Director:
Baltasar Kormákur
| 
    Stars:
Mark Wahlberg, 
Giovanni Ribisi, 
Kate Beckinsale, 
Robert Wahlberg
","119,261",109.0,66.53
The Client,1994,"
Crime, Drama, Mystery            ",6.7,"
    Director:
Joel Schumacher
| 
    Stars:
Susan Sarandon, 
Tommy Lee Jones, 
Brad Renfro, 
Mary-Louise Parker
","62,748",119.0,92.12
Mirror Mirror,2012,"
Adventure, Comedy, Drama            ",5.6,"
    Director:
Tarsem Singh
| 
    Stars:
Lily Collins, 
Julia Roberts, 
Armie Hammer, 
Nathan Lane
","85,615",106.0,64.94
